n	family	question	apparatus	refuted_if
1	F1 arrangements	Does the sunflower (the law the Kuiper draws with) keep black sky between every dot at a true 390 wide?	assemble.mjs sunflower, headless Chrome 390x844, pixel read	any two lit dots touch, or under 30 frames a second
2	F1 arrangements	Does a ring of one app's dots settle and stay readable at 390?	assemble.mjs ring, pixel read, settle timer	does not settle in 3 s, or dots overlap
3	F1 arrangements	Does an orbit hold its frame rate while every selected dot moves?	assemble.mjs orbit, frame counter over 10 s	median under 30 frames a second
4	F1 arrangements	Does the clock shape show the true London time to the minute, read from the pixels?	assemble.mjs clock, pixel read against the system clock	hands read more than one minute off
5	F1 arrangements	Is a word written in dots readable by a machine reader at 390?	assemble.mjs text, the word GRID, template match on the photograph	the word is not recovered
6	F1 arrangements	Does a hexagonal lattice pack more dots per screen than the sunflower with black sky kept?	new shape hex in a test cartridge, dot count per 390x844	fewer dots, or sky rule broken
7	F1 arrangements	Do spiral arms (every nth key) separate cleanly into n arms?	shape arms, n = 5, 8, 13, count connected groups in pixels	group count differs from n
8	F1 arrangements	Can a repository's folder tree be drawn as a tree of dots with no crossing branches?	shape tree from the public file list of one repository	any two branches cross
9	F1 arrangements	Can a busbar with feeders (a single line diagram shape) be drawn from dots and read as one bar and k feeders?	shape busbar, k = 6, pixel read of bar and feeder count	feeder count read differs from k
10	F1 arrangements	Can the outline of Great Britain be drawn in dots from public boundary data and recognised?	shape outline from a public coastline, overlap score against the source	overlap under 90 percent
11	F2 gates	Select by app: do lit plus dark equal the whole, exactly?	programs.json select app, count lit and dark from the table	lit + dark differs from total by one or more
12	F2 gates	Select by repository: same exact sum, for every public repository in turn?	select repository, loop all, count	any repository fails the sum
13	F2 gates	Select by month: do the twelve months of a year sum to that year?	select month, 2026 months against select year	sum differs
14	F2 gates	Select by file type: do the types partition the whole with none counted twice?	select type, all types, set intersection	any dot in two types, or any in none
15	F2 gates	Select by a word: does the count equal an independent count by a second tool?	select word 'cable', against ripgrep on the same public files	counts differ
